Amazon Athena
Amazon CloudSearch
Amazon Elasticsearch Service
Amazon EMR
Amazon Kinesis
Amazon Redshift
Amazon Quicksight
AWS Data Pipeline
AWS Glue
Amazon Managed Streaming for Kafka
AWS Lake Formation
AWS Step Functions
Amazon Simple Queue Service (SQS)
Amazon Simple Notification Service (SNS)
Amazon MQ
Amazon AppSync
Amazon Sumerian
AWS Cost Explorer
AWS Budgets
Reserved Instance Reporting
AWS Cost and Usage Report
Amazon Managed Blockchain
Amazon Quantum Ledger Database (QLDB)
Alexa for Business
Amazon Chime
Amazon WorkMail
Amazon EC2
Amazon EC2 Auto Scaling
Amazon Elastic Container Service
Amazon Elastic Container Service for Kubernetes
Amazon Elastic Container Registry
Amazon Lightsail
AWS Batch
AWS Elastic Beanstalk
AWS Fargate
AWS Lambda
AWS Serverless Application Repository
VMware Cloud on AWS
AWS Outposts
Amazon Connect
Amazon Pinpoint
Amazon Simple Email Service (SES)
Amazon Aurora
Amazon RDS
Amazon DynamoDB
Amazon ElastiCache
Amazon Neptune
AWS Database Migration Service
Amazon Timestream
Amazon RDS on VMware
Amazon DocumentDB (with MongoDB compatibility)
AWS CodeStar
AWS CodeCommit
AWS CodeBuild
AWS CodeDeploy
AWS CodePipeline
AWS Cloud9
AWS X-Ray
AWS Command Line Interface
Amazon Corretto
AWS Tools and SDKs
Amazon WorkSpaces
Amazon AppStream 2.0
Amazon WorkDocs
Amazon WorkLink
Amazon GameLift
Amazon Lumberyard
AWS IoT Core
Amazon FreeRTOS
AWS Greengrass
AWS IoT 1-Click
AWS IoT Analytics
AWS IoT Button
AWS IoT Device Defender
AWS IoT Device Management
AWS IoT Events
AWS IoT SiteWise
AWS Partner Device Catalog
AWS IoT Things Graph
Amazon SageMaker
Amazon Comprehend
Amazon Lex
Amazon Polly
Amazon Rekognition
Amazon Translate
Amazon Transcribe
AWS DeepLens
AWS Deep Learning AMIs
Apache MXNet on AWS
TensorFlow on AWS
Amazon Personalize
Amazon Forecast
Amazon Inferentia
Amazon Textract
Amazon Elastic Inference
Amazon SageMaker Ground Truth
AWS DeepRacer
AWS Deep Learning Containers
Amazon CloudWatch
AWS Auto Scaling
AWS CloudFormation
AWS CloudTrail
AWS Config
AWS OpsWorks
AWS Service Catalog
AWS Systems Manager
AWS Trusted Advisor
AWS Personal Health Dashboard
AWS Control Tower
AWS License Manager
AWS Well-Architected Tool
AWS Console Mobile Application
AWS Management Console
AWS Managed Services
AWS Organizations
Amazon Elastic Transcoder
Amazon Kinesis Video Streams
AWS Elemental MediaConvert
AWS Elemental MediaLive
AWS Elemental MediaPackage
AWS Elemental MediaStore
AWS Elemental MediaTailor
AWS Elemental MediaConnect
AWS Application Discovery Service
AWS Migration Hub
AWS Server Migration Service
AWS Snowball Family
AWS DataSync
AWS Transfer for SFTP
AWS Amplify
Amazon API Gateway
AWS AppSync
AWS Device Farm
Amazon VPC
AWS PrivateLink
Amazon CloudFront
Amazon Route 53
AWS Direct Connect
AWS Cloud Map
AWS App Mesh
AWS Transit Gateway
AWS Global Accelerator
Elastic Load Balancing
AWS RoboMaker
AWS Ground Station
AWS Identity & Access Management
Amazon Cloud Directory
Amazon Cognito
AWS Single Sign-On
Amazon GuardDuty
Amazon Inspector
Amazon Macie
AWS Certificate Manager
AWS CloudHSM
AWS Directory Service
AWS Firewall Manager
AWS Key Management Service
AWS Secrets Manager
AWS Shield
AWS WAF
AWS Artifact
AWS Security Hub
Amazon Simple Storage Service (S3)
Amazon Elastic Block Store (EBS)
Amazon Elastic File System (EFS)
Amazon S3 Glacier
AWS Storage Gateway
AWS Snow Family
Amazon FSx for Lustre
Amazon FSx for Windows File Server
AWS Backup
